sample_ID,sample_num,Mean_R1,Mean_R2,Mean_R3,quant_reading,Sample_or_Control
H44_B,H44,5.58,13.1,15.15,11.28,True Sample
H44_S,H44,11.15,13.55,11.5,12.07,True Sample
H45_B,H45,14.35,12.3,13.8,13.48,True Sample
H45_S,H45,7.71,10.55,13.5,10.59,True Sample
H46_B,H46,11.8,13.6,14.7,13.37,True Sample
H46_S,H46,13.5,12.9,13.5,13.3,True Sample
H47_B,H47,12.4,13.85,13,13.08,True Sample
H47_S,H47,11.1,14.05,14.45,13.2,True Sample
H48_B,H48,8.705,9.925,13.05,10.56,True Sample
H48_S,H48,7.4,14.95,9.365,10.57,True Sample
H49_B,H49,13.35,12.5,14.1,13.32,True Sample
H49_S,H49,10.55,11.4,12.2,11.38,True Sample
H5_B,H5,19.5,15.75,17.1,17.45,True Sample
H5_S,H5,8.8,14.1,13.2,12.03,True Sample
H50_B,H50,12.75,12.05,14.9,13.23,True Sample
H50_S,H50,11.3,11.45,14.7,12.48,True Sample
H51_B,H51,16.35,13.25,14.65,14.75,True Sample
H51_S,H51,10.85,12.05,12.25,11.72,True Sample
H6_B,H6,13.6,13.45,14.65,13.9,True Sample
H6_S,H6,12.45,12.8,10.45,11.9,True Sample
H7_B,H7,11.8,13.9,13.55,13.08,True Sample
H7_S,H7,11.2,12.5,11.9,11.87,True Sample
H8_B,H8,10.25,12,12.75,11.67,True Sample
H8_S,H8,11.2,13.7,13,12.63,True Sample
H9_B,H9,2.9,0.8675,1.5,1.76,True Sample
H9_S,H9,11.6,9.76,14,11.79,True Sample
PCN-1_B,PCN-1,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-1_S,PCN-1,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-2_B,PCN-2,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-2_S,PCN-2,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-3_B,PCN-3,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-3_S,PCN-3,1.14,#DIV/0!,#DIV/0!,1.14,Control Sample
PCN-4_B,PCN-4,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-4_S,PCN-4,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-5_B,PCN-5,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-5_S,PCN-5,6.965,#DIV/0!,0.062,3.51,Control Sample
PCN-6_B,PCN-6,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-6_S,PCN-6,#DIV/0!,#DIV/0!,0.052,0.05,Control Sample
PCN-7_B,PCN-7,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-7_S,PCN-7,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-8_B,PCN-8,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
PCN-8_S,PCN-8,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
S1_B,S1,11.7,14.75,11.25,12.57,True Sample
S1_S,S1,4.335,8.485,8.705,7.18,True Sample
S10_B,S10,13.45,13.65,15.3,14.13,True Sample
S10_S,S10,8.44,7.305,8.185,7.98,True Sample
S11_B,S11,7.565,11.45,17.15,12.06,True Sample
S11_S,S11,6.08,8.115,11.45,8.55,True Sample
S12_B,S12,11.75,14.4,15.25,13.8,True Sample
S12_S,S12,3.6,6.03,4.945,4.86,True Sample
S13_B,S13,14.75,11.4,14.2,13.45,True Sample
S13_S,S13,8475,7.755,6.315,2829.69,True Sample
S14_B,S14,16.5,11.7,14,14.07,True Sample
S14_S,S14,6.035,6.235,7.325,6.53,True Sample
S15_B,S15,11.8,13.65,13.8,13.08,True Sample
S15_S,S15,11.1,11.4,11.5,11.33,True Sample
